5392, 19173
11685, 45052
6769, 25756
55837, 398957
708, 6761
3668, 14153
6068, 22197
5857, 17172
68262, 391304
438, 3503
641, 3583
9646, 60088
6297, 29329
9013, 25009
236, 2217
4026, 28531
6385, 21575
8849, 87474
4392, 12601
2143, 17243
4182, 33567
31138, 139711
1908, 14194
63839, 233819
28510, 129307
201365, 1.39184e+06
4287, 13702
40062, 283825
9831, 36034
10658, 95503
1579, 9085
7775, 29343
561, 2638
529, 4755
2367, 5589
6431, 29652
12648, 137324
741, 4985
1400, 8456
1769, 12494
15369, 102462
12694, 63687
7876, 42151
2154, 8638
1993, 13083
158832, 1.14384e+06
4140, 19696
55985, 325667
2195, 11437
3791, 15573
19537, 92855
3490, 6971
5015, 25509
185, 1009
4629, 32370
1067, 10143
3653, 25344
3246, 9434
23780, 278434
1009, 6890
2473, 19086
32392, 157526
13746, 63292
11698, 45525
1425, 15693
2185, 12863
16761, 94440
16936, 68621
35288, 508041
25298, 318959
6235, 19659
704, 5809
3583, 21103
26002, 53512
1924, 11180
4246, 14239
2704, 12559
4895, 21476
74877, 565602
996, 7622
1188, 11228
2779, 12943
2938, 15638
18153, 211705
8812, 60261
217, 1736
11320, 59099
31, 428
14395, 104156
5724, 22081
8645, 46193
3027, 14573
3959, 17638
18546, 84398
3018, 19881
4307, 16423
7835, 35162
2824, 15142
624, 4806
20514, 57853
2648, 5312
39630, 232276
3008, 11464
5308, 14027
4401, 21823
550, 5232
4034, 41899
7017, 62192
178, 2438
2941, 24776
6703, 47418
3199, 14485
9299, 28884
554, 3182
2143, 8145
898, 4519
4687, 21701
1035, 2588
2891, 14357
27815, 178299
13773, 37508
1187, 6955
148225, 499480
73596, 743406
4190, 11462
3196, 18092
3055, 13813
118, 698
12919, 76513
1142, 7096
519, 4505
7179, 19816
2951, 13128
1036, 10018
19987, 203094
6390, 17501
8975, 34173
5818, 40137
10034, 60130
6936, 54005
6811, 29314
9786, 71473
3807, 23551
2255, 10345
17397, 81796
12881, 62767
3085, 13914
3418, 9020
748, 4107
6333, 35791
26311, 155717
15608, 94499
2023, 13966
553, 3007
3706, 15153
768, 5403
9993, 38877
21982, 160553
6081, 30624
543, 4597
20666, 154147
911, 5873
1411, 8700
4290, 30066
3577, 19427
0, 0
6167, 41702
9325, 36136
6280, 67087
7296, 23267
5970, 54636
9306, 18972
50358, 294580
10141, 60917
10000, 41143
6654, 13430
1340, 7969
1348, 2634
5066, 32837
2446, 5671
1075, 4470
29563, 207911
2157, 23600
966, 7734
5728, 36029
3780, 15590
1999, 6056
19421, 81655
3568, 12674
23870, 165040
2330, 15820
67217, 852351
28542, 171844
14475, 95027
57503, 348742
16476, 116616
121599, 590432
4208, 14362
27166, 135674
4705, 14597
4074, 14205
326632, 1.53294e+06
4074, 17442
38322, 126818
3735, 11094
3387, 11223
1217, 10630
636, 4645
76, 801
6881, 38298
22592, 118943
1984, 10665
8942, 25889
1783, 19463
1906, 5785
89, 499
1488, 8201
17760, 114493
1006, 9406
1100, 5525
2981, 10172
3121, 10532
9120, 44444
17308, 109536
12554, 61331
1160, 6087
11582, 24921
2466, 9878
1032, 6222
2521, 14903
6321, 37718
12383, 98304
6175, 31765
2670, 24318
6087, 46220
4644, 57891
11377, 116174
34543, 160627
519, 4984
4909, 17904
6, 600
2614, 14580
17884, 109681
2549, 29856
732, 5859
44493, 294220
1812, 9321
2851, 12926
3435, 16297
18375, 80963
266, 2893
2710, 10251
4534, 47242
9718, 42777
213, 1862
5436, 25161
1412, 6800
4860, 20160
8217, 53937
3489, 8472
20389, 84851
8143, 37623
4033, 14144
3182, 11252
37870, 288420
62327, 177779
4358, 8555
3898, 15234
1805, 23188
75179, 502310
1137, 7779
286, 1164
76, 878
3609, 14022
68720, 453885
3140, 44056
595, 5066
428571, 1.00527e+06
3082, 21059
5930, 31182
3700, 11934
2755, 4547
34339, 176825
4412, 58969
267301, 1.64119e+06
840, 5568
2184, 13032
1865, 8922
2377, 22889
459, 2682
6220, 35955
3380, 35374
6928, 32043
29517, 232030
701, 4629
19727, 102555
3960, 11763
3967, 29837
8185, 36923
2083, 19060
15213, 77047
5984, 15758
3890, 11991
33841, 584697
1360, 5084
2634, 16195
6558, 44511
739, 1624
1583, 11816
7951, 66262
22563, 61923
2325, 7298
42842, 222980
3925, 30185
7608, 17463
17897, 68636
278, 1962
7421, 84530
2588, 13406
24735, 413295
7326, 37842
2621, 13673
638, 6041
5764, 15486
1471, 13640
5563, 61459
3232, 9721
9110, 33604
775, 7507
50885, 332626
17293, 172369
45745, 196659
412, 2339
1050, 8970
3388, 17456
25358, 165977
21558, 83805
19645, 109467
49258, 216733
6039, 24392
4864, 41411
34313, 166637
1999, 7391
2723, 10689
1292, 7851
15889, 61683
7444, 31450
4368, 27821
25386, 91110
775, 4188
3415, 10681
2501, 4434
1322, 8929
590, 4411
24008, 119772
3495, 10056
2708, 12319
3836, 16893
1653, 5755
2054, 11635
5818, 38485
7695, 32961
3167, 45581
4440, 84179
161, 876
